SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.01,1e-6,0.0,-13000000.0,184.0,0.02839471837818574,0.8976106906076406
0.0002,0.01,1e-6,0.0,-12566666.666666666,184.0,0.028394718037288165,0.8976106907007781
0.0002,0.01,1e-6,0.0,-12133333.333333332,184.0,0.028394717750953723,0.8976106903732216
0.0002,0.01,1e-6,0.0,-11700000.0,184.0,0.02839471743663108,0.8976106905506398
0.0002,0.01,1e-6,0.0,-11266666.666666666,184.0,0.028394717114351594,0.8976106903480712
0.0002,0.01,1e-6,0.0,-10833333.333333332,184.0,0.02839471669613829,0.8976106901110078
0.0002,0.01,1e-6,0.0,-10400000.0,184.0,0.02839471622197108,0.8976106900098287
0.0002,0.01,1e-6,0.0,-9966666.666666666,184.0,0.028394714980770498,0.897610689858119
0.0002,0.01,1e-6,0.0,-9533333.333333334,184.0,0.02839471438914309,0.8976106899103106
0.0002,0.01,1e-6,0.0,-9100000.0,184.0,0.02839471001526105,0.8976106877398722
0.0002,0.01,1e-6,0.0,-8666666.666666666,184.0,0.028394713155870333,0.8976106884000492
0.0002,0.01,1e-6,0.0,-8233333.333333334,184.0,0.028394713111078454,0.8976106834566053
0.0002,0.01,1e-6,0.0,-7800000.0,184.0,0.028394713445993362,0.8976106565353025
0.0002,0.01,1e-6,0.0,-7366666.666666666,184.0,0.028394712838734508,0.8976106457562083
0.0002,0.01,1e-6,0.0,-6933333.333333334,184.0,0.028394712644816557,0.8976105889986318
0.0002,0.01,1e-6,0.0,-6500000.0,184.0,0.02839471183604271,0.8976106860286037
0.0002,0.01,1e-6,0.0,-6066666.666666666,184.0,0.02839471153768084,0.8976106845949994
0.0002,0.01,1e-6,0.0,-5633333.333333333,184.0,0.02839471102903959,0.8976106815773089
0.0002,0.01,1e-6,0.0,-5199999.999999999,184.0,0.028394643556519914,0.8976103892953563
0.0002,0.01,1e-6,0.0,-4766666.666666666,184.0,0.02839453802586413,0.8976102386790574
0.0002,0.01,1e-6,0.0,-4333333.333333332,184.0,0.02839379669102855,0.8976101181528949
0.0002,0.01,1e-6,0.0,-3900000.0000000005,184.0,0.028390239730238666,0.8976098619895202
0.0002,0.01,1e-6,0.0,-3466666.666666667,184.0,0.028387384067865267,0.897609818638217
0.0002,0.01,1e-6,0.0,-3033333.333333333,184.0,0.028378832634440663,0.8976095605534035
0.0002,0.01,1e-6,0.0,-2599999.9999999995,184.0,0.028388394527036367,0.8976097142066676
0.0002,0.01,1e-6,0.0,-2166666.666666666,184.0,0.028377132542899575,0.8976089390400022
0.0002,0.01,1e-6,0.0,-1733333.3333333326,184.0,0.02838076823985315,0.8975395614351509
0.0002,0.01,1e-6,0.0,-1299999.9999999988,184.0,0.02839478904666327,0.8955536604013495
0.0002,0.01,1e-6,0.0,-866666.6666666671,184.0,0.028394676605420662,0.8972033917504078
0.0002,0.01,1e-6,0.0,-433333.33333333355,184.0,0.028394859969561075,0.896600854127546
