SPA1 power,SPA1 bg fraction,RC bg intensity,SPA1 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.001,0.004,-13000000.0,0.0,152.0,0.9999997577301463,9.561462769567862e-8
0.0002,0.001,0.004,-12480000.0,0.0,152.0,0.9999994887538951,2.6396669550821964e-7
0.0002,0.001,0.004,-11960000.0,0.0,152.0,0.9999985454823477,5.841840168452834e-7
0.0002,0.001,0.004,-11440000.0,0.0,152.0,0.999999183870675,2.6141972184216877e-7
0.0002,0.001,0.004,-10920000.0,0.0,152.0,0.9999982724532452,6.070913663586975e-7
0.0002,0.001,0.004,-10400000.0,0.0,152.0,0.9999988656817399,5.504207271951917e-7
0.0002,0.001,0.004,-9879999.999999998,0.0,152.0,0.9999965557726438,1.7408935032541459e-6
0.0002,0.001,0.004,-9360000.0,0.0,152.0,0.9999990417480387,1.8189380357590824e-7
0.0002,0.001,0.004,-8840000.0,0.0,152.0,0.9999979805217574,4.830000752077579e-7
0.0002,0.001,0.004,-8320000.0,0.0,152.0,0.9999987257629492,7.119556672684658e-7
0.0002,0.001,0.004,-7800000.0,0.0,152.0,0.9999962847613999,2.425658088141457e-6
0.0002,0.001,0.004,-7279999.999999999,0.0,152.0,0.9999943401234365,3.1168165902586968e-6
0.0002,0.001,0.004,-6760000.0,0.0,152.0,0.9999945761275951,1.4259086655881334e-7
0.0002,0.001,0.004,-6240000.0,0.0,152.0,0.999982840025642,8.006614780479016e-6
0.0002,0.001,0.004,-5720000.0,0.0,152.0,0.9997779962926385,0.00010217505802820838
0.0002,0.001,0.004,-5199999.999999999,0.0,152.0,0.8598383281420118,0.02080958364455696
0.0002,0.001,0.004,-4680000.0,0.0,152.0,0.940124959515085,0.010562702894996345
0.0002,0.001,0.004,-4160000.0,0.0,152.0,0.9114246772331033,0.012357848987612505
0.0002,0.001,0.004,-3640000.0000000005,0.0,152.0,0.7119898516432317,0.09591707917495468
0.0002,0.001,0.004,-3119999.999999999,0.0,152.0,0.21057829823712484,0.19040882386126234
0.0002,0.001,0.004,-2599999.9999999995,0.0,152.0,0.0346748792870227,0.27542390558411983
0.0002,0.001,0.004,-2080000.0,0.0,152.0,0.005964785671691041,0.2548200367734985
0.0002,0.001,0.004,-1559999.9999999988,0.0,152.0,0.00299248104693488,0.3151939064116462
0.0002,0.001,0.004,-1039999.9999999992,0.0,152.0,0.0029705704477436673,0.2551122698676336
0.0002,0.001,0.004,-519999.9999999996,0.0,152.0,0.002135822583474175,0.27680627465092106
0.0002,0.001,0.004,0.0,0.0,152.0,0.0034497829160384436,0.27242973995075986
0.0002,0.001,0.004,519999.9999999996,0.0,152.0,0.0024279491625511782,0.2986338816091767
0.0002,0.001,0.004,1040000.0000000009,0.0,152.0,0.003872582695212092,0.300798590313228
0.0002,0.001,0.004,1560000.0000000005,0.0,152.0,0.004627578374828155,0.2948462622538372
0.0002,0.001,0.004,2080000.0,0.0,152.0,0.0077075941101799475,0.2933408790428317
0.0002,0.001,0.004,2600000.0000000014,0.0,152.0,0.0107120230161694,0.2896355098900143
0.0002,0.001,0.004,3120000.000000001,0.0,152.0,0.017242782067534275,0.2917502532616218
0.0002,0.001,0.004,3640000.0000000005,0.0,152.0,0.1256129885102748,0.2573292487654136
0.0002,0.001,0.004,4160000.0,0.0,152.0,0.2207330751274454,0.22992561562279107
0.0002,0.001,0.004,4680000.0,0.0,152.0,0.27742068695851196,0.21329761169667658
0.0002,0.001,0.004,5199999.999999999,0.0,152.0,0.3922304945038131,0.17936758897853838
0.0002,0.001,0.004,5719999.999999999,0.0,152.0,0.5319316704349271,0.1380260886636736
0.0002,0.001,0.004,6240000.000000002,0.0,152.0,0.5930617865166247,0.1200693291542462
0.0002,0.001,0.004,6760000.000000002,0.0,152.0,0.8015504066106327,0.05859506206972269
0.0002,0.001,0.004,7280000.000000001,0.0,152.0,0.9986577951151095,0.00039631715517772395
0.0002,0.001,0.004,7800000.000000001,0.0,152.0,0.9999983482643703,7.202691078289644e-7
0.0002,0.001,0.004,8320000.0,0.0,152.0,0.999999046507653,3.9428722071257726e-7
0.0002,0.001,0.004,8840000.0,0.0,152.0,0.9999987430949421,4.6331514406803677e-7
0.0002,0.001,0.004,9360000.0,0.0,152.0,0.9999999237450555,3.016438318062674e-8
0.0002,0.001,0.004,9880000.000000002,0.0,152.0,0.9999990569751341,3.6771877330325035e-7
0.0002,0.001,0.004,10400000.000000002,0.0,152.0,0.9999993855797205,2.856900263208466e-7
0.0002,0.001,0.004,10920000.000000002,0.0,152.0,0.9999985055852288,6.159881808380372e-7
0.0002,0.001,0.004,11440000.000000002,0.0,152.0,0.9999970417420578,6.747357791464886e-7
0.0002,0.001,0.004,11960000.0,0.0,152.0,0.9999989589646092,2.0590357866598079e-7
0.0002,0.001,0.004,12480000.0,0.0,152.0,0.9999981328677809,3.770329029822069e-7
0.0002,0.001,0.004,13000000.0,0.0,152.0,0.9999997954529671,2.768452515318467e-8
