SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.01,1e-6,0.0,-1750000.0,0.0,184.0,0.027450070072030715,0.0005417990239553737
0.0002,0.00003,0.01,0.01,1e-6,0.0,-1633333.3333333333,0.0,184.0,0.024906533657396923,0.00276485490291279
0.0002,0.00003,0.01,0.01,1e-6,0.0,-1516666.6666666665,0.0,184.0,0.025617461506079874,0.0022592762766783674
0.0002,0.00003,0.01,0.01,1e-6,0.0,-1400000.0,0.0,184.0,0.026191307141871404,0.0019675367136166573
0.0002,0.00003,0.01,0.01,1e-6,0.0,-1283333.3333333333,0.0,184.0,0.02725457795066759,0.000840550894123418
0.0002,0.00003,0.01,0.01,1e-6,0.0,-1166666.6666666665,0.0,184.0,0.026009469683332884,0.002313840152790471
0.0002,0.00003,0.01,0.01,1e-6,0.0,-1050000.0,0.0,184.0,0.014067092802914377,0.014074261038632825
0.0002,0.00003,0.01,0.01,1e-6,0.0,-933333.3333333334,0.0,184.0,0.0284991875477089,0.0003700150152892818
0.0002,0.00003,0.01,0.01,1e-6,0.0,-816666.6666666666,0.0,184.0,0.028644272171016987,0.5068517548658966
0.0002,0.00003,0.01,0.01,1e-6,0.0,-700000.0,0.0,184.0,0.028717376077965557,0.469230711832072
0.0002,0.00003,0.01,0.01,1e-6,0.0,-583333.3333333333,0.0,184.0,0.028798065495328675,0.6072766798299294
0.0002,0.00003,0.01,0.01,1e-6,0.0,-466666.66666666657,0.0,184.0,0.028767545563079384,0.7197952355590238
0.0002,0.00003,0.01,0.01,1e-6,0.0,-350000.0000000001,0.0,184.0,0.02874546712690073,0.794769776635086
0.0002,0.00003,0.01,0.01,1e-6,0.0,-233333.3333333334,0.0,184.0,0.02873920939884215,0.82371919424033
0.0002,0.00003,0.01,0.01,1e-6,0.0,-116666.6666666667,0.0,184.0,0.028736062219474202,0.8375681926733228
0.0002,0.00003,0.01,0.01,1e-6,0.0,0.0,0.0,184.0,0.02874797702465594,0.8362136967622147
0.0002,0.00003,0.01,0.01,1e-6,0.0,116666.6666666667,0.0,184.0,0.02873570440979443,0.8360535120681774
0.0002,0.00003,0.01,0.01,1e-6,0.0,233333.3333333334,0.0,184.0,0.028880355879828668,0.4555452309083909
0.0002,0.00003,0.01,0.01,1e-6,0.0,350000.0000000001,0.0,184.0,0.028630437395989188,0.030425681532772694
0.0002,0.00003,0.01,0.01,1e-6,0.0,466666.6666666668,0.0,184.0,0.029102825549699892,0.05569675490964824
0.0002,0.00003,0.01,0.01,1e-6,0.0,583333.3333333335,0.0,184.0,0.02858538739607481,0.25026268888474124
0.0002,0.00003,0.01,0.01,1e-6,0.0,700000.0000000002,0.0,184.0,0.028963631295883502,0.00029528357632105536
0.0002,0.00003,0.01,0.01,1e-6,0.0,816666.6666666669,0.0,184.0,0.028825702295331334,0.00023898820552897346
0.0002,0.00003,0.01,0.01,1e-6,0.0,933333.3333333336,0.0,184.0,0.028739812246212398,0.0002492564553390024
0.0002,0.00003,0.01,0.01,1e-6,0.0,1049999.9999999998,0.0,184.0,0.028679037262061426,0.00009687918704466698
0.0002,0.00003,0.01,0.01,1e-6,0.0,1166666.6666666665,0.0,184.0,0.028629989167182762,0.000029610685258075262
0.0002,0.00003,0.01,0.01,1e-6,0.0,1283333.3333333333,0.0,184.0,0.02858612051773084,0.00010626992808881313
0.0002,0.00003,0.01,0.01,1e-6,0.0,1400000.0,0.0,184.0,0.028554711678892085,0.00007640177480581002
0.0002,0.00003,0.01,0.01,1e-6,0.0,1516666.6666666665,0.0,184.0,0.028526550944911307,0.00014722214047127182
0.0002,0.00003,0.01,0.01,1e-6,0.0,1633333.3333333333,0.0,184.0,0.028501067485801265,0.000040678064408130114
0.0002,0.00003,0.01,0.01,1e-6,0.0,1750000.0,0.0,184.0,0.02847996508831395,0.00016655703302040505
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-1750000.0,0.0,184.0,0.027451042875809167,0.0005032835272884722
0.0002,0.00003,0.01,0.01,1.9952623149688787e-6,0.0,-1633333.3333333333,0.0,184.0,0.024906775659628386,0.0025907867201462563
