SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.001,0.0,0.0,-1500000.0,0.0,184.0,0.027660435320531286,0.0003105992030943498
0.0002,0.00003,0.01,0.001,0.0,0.0,-1400000.0,0.0,184.0,0.027950775276011315,0.00042497099331218196
0.0002,0.00003,0.01,0.001,0.0,0.0,-1300000.0,0.0,184.0,0.027975065559400557,0.0004098994983408029
0.0002,0.00003,0.01,0.001,0.0,0.0,-1200000.0,0.0,184.0,0.02733809994847725,0.0010915671602455027
0.0002,0.00003,0.01,0.001,0.0,0.0,-1100000.0,0.0,184.0,0.02576588345986561,0.0027569099437393186
0.0002,0.00003,0.01,0.001,0.0,0.0,-1000000.0,0.0,184.0,0.02762645522549918,0.000873144298346264
0.0002,0.00003,0.01,0.001,0.0,0.0,-899999.9999999999,0.0,184.0,0.02854838821738771,0.005361775645989794
0.0002,0.00003,0.01,0.001,0.0,0.0,-799999.9999999999,0.0,184.0,0.02861079034091296,0.19957188405976356
0.0002,0.00003,0.01,0.001,0.0,0.0,-700000.0,0.0,184.0,0.028704339860016866,0.40091840122831546
0.0002,0.00003,0.01,0.001,0.0,0.0,-600000.0,0.0,184.0,0.0287964063816366,0.5349054260405293
0.0002,0.00003,0.01,0.001,0.0,0.0,-500000.0,0.0,184.0,0.028817786016928935,0.6206074026414771
0.0002,0.00003,0.01,0.001,0.0,0.0,-399999.9999999999,0.0,184.0,0.028810627507696033,0.8090808811613026
0.0002,0.00003,0.01,0.001,0.0,0.0,-299999.9999999998,0.0,184.0,0.028800542820786524,0.8692133096143347
0.0002,0.00003,0.01,0.001,0.0,0.0,-199999.99999999994,0.0,184.0,0.028787593471040557,0.8956791679213512
0.0002,0.00003,0.01,0.001,0.0,0.0,-99999.99999999987,0.0,184.0,0.028774943874374164,0.8907196562076682
0.0002,0.00003,0.01,0.001,0.0,0.0,0.0,0.0,184.0,0.028793647686617716,0.8972611141700498
