SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.001,0.0,0.0,-1000000.0,0.0,152.0,0.03409812184861415,0.00021821416936330384
0.0002,0.00003,0.01,0.001,0.0,0.0,-933333.3333333334,0.0,152.0,0.034904005322321484,0.00019972012185266752
0.0002,0.00003,0.01,0.001,0.0,0.0,-866666.6666666667,0.0,152.0,0.0348106122460749,0.0001817665818227648
0.0002,0.00003,0.01,0.001,0.0,0.0,-800000.0,0.0,152.0,0.03479746403776469,0.00014098642341589342
0.0002,0.00003,0.01,0.001,0.0,0.0,-733333.3333333334,0.0,152.0,0.034726616986691924,0.00012470566555442656
0.0002,0.00003,0.01,0.001,0.0,0.0,-666666.6666666667,0.0,152.0,0.03465652914296217,0.00012740352172813956
0.0002,0.00003,0.01,0.001,0.0,0.0,-600000.0,0.0,152.0,0.03460413237771599,0.00009663868156342948
0.0002,0.00003,0.01,0.001,0.0,0.0,-533333.3333333334,0.0,152.0,0.03456864498884957,0.000044451164276778024
0.0002,0.00003,0.01,0.001,0.0,0.0,-466666.6666666667,0.0,152.0,0.03456959396263501,9.08317420328857e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,-400000.0,0.0,152.0,0.034586739946436046,4.330592978068185e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,-333333.3333333334,0.0,152.0,0.03460046888976422,0.000013920828845508243
0.0002,0.00003,0.01,0.001,0.0,0.0,-266666.66666666674,0.0,152.0,0.034607272878368414,3.5400648607130893e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,-199999.99999999994,0.0,152.0,0.03461150253918176,1.8622314837407474e-6
0.0002,0.00003,0.01,0.001,0.0,0.0,-133333.3333333333,0.0,152.0,0.034612672749475604,2.1625826671992045e-6
