SPA1 power,SPA2 power,SPA1 bg fraction,SPA2 bg fraction,RC bg intensity,SPA1 detuning,SPA2 detuning,RC detuning,v_forward,prob ini,prob fin
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,152.0,0.03459042431849645,1.5019885273738638e-6
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,153.28,0.03440193927604151,0.8749386272976145
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,154.56,0.03494397666645793,0.000018467905165233113
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,155.84,0.03466039593197641,0.9109714572692725
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,157.12,0.03435847362427574,6.484167693736765e-6
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,158.4,0.03423852501374626,0.9320322369608508
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,159.68,0.03293825984691989,0.9344246066619817
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,160.96,0.03313322708489872,0.9278254733823008
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,162.24,0.03270899029851526,0.914432450219434
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,163.52,0.03200082227651101,0.8974884195025283
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,164.8,0.03166079754308908,1.6189325609098344e-7
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,166.07999999999998,0.03192749550895092,0.8588966449945707
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,167.36,0.03201819879294378,1.4391928368893193e-6
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,168.64,0.03156397549487798,0.8284979846999194
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,169.92000000000002,0.03126544762136858,0.8222760835035404
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,171.2,0.031239258557392166,0.00001739577051938434
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,172.48,0.030718518663384257,0.8226452950428137
0.0002,0.00003,0.01,0.01,1e-8,0.0,0.0,0.0,173.76,0.030003319153887757,0.8315937725947328
