SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,0.00001,0.01,0.0,-2000000.0,184.0,0.028236214697715187,0.8978414440054131,0.000026998324101664006
0.0002,0.01,0.00001,0.01,0.0,-1800000.0,184.0,0.027388579980341297,0.8978405909624249,0.0008412042141843951
0.0002,0.01,0.00001,0.01,0.0,-1600000.0,184.0,0.027861551191842623,0.8978210205608977,0.00031850056391279785
0.0002,0.01,0.00001,0.01,0.0,-1400000.0,184.0,0.02760884485703918,0.8978665347941286,0.0007028238566840749
0.0002,0.01,0.00001,0.01,0.0,-1200000.0,184.0,0.027735418834376024,0.886191568995849,0.0005773431837843378
0.0002,0.01,0.00001,0.01,0.0,-1000000.0,184.0,0.027656418688982033,0.8620539474027008,0.0007197337208806219
0.0002,0.01,0.00001,0.01,0.0,-799999.9999999998,184.0,0.028398651732931716,0.7014758706695458,0.11362113723895503
0.0002,0.01,0.00001,0.01,0.0,-599999.9999999999,184.0,0.02850137451217397,0.4743235643891678,0.2952286567376331
0.0002,0.01,0.00001,0.01,0.0,-399999.9999999999,184.0,0.028608807189732948,0.20195321854571502,0.5576023836104484
0.0002,0.01,0.00001,0.01,0.0,-199999.99999999994,184.0,0.028668952091816597,0.07078972437436196,0.7551703783088833
0.0002,0.01,0.00001,0.01,0.0,0.0,184.0,0.02869012794189651,0.04134357498812801,0.850269421523737
0.0002,0.01,0.00001,0.01,0.0,200000.00000000017,184.0,0.028758846601173293,0.0512066519735104,0.84420347880346
0.0002,0.01,0.00001,0.01,0.0,400000.00000000035,184.0,0.02868042280020655,0.8702257710656439,0.02561891497286282
0.0002,0.01,0.00001,0.01,0.0,600000.0000000001,184.0,0.02843235881155089,0.7504271179397618,0.12422751795506397
0.0002,0.01,0.00001,0.01,0.0,800000.0000000002,184.0,0.028457409508074925,0.8969783132836824,0.000569979439899776
0.0002,0.01,0.00001,0.01,0.0,1000000.0,184.0,0.02841847193330006,0.8973706849946252,0.0004214879566636498
0.0002,0.01,0.00001,0.01,0.0,1200000.0000000002,184.0,0.028397847077799646,0.8975178369738332,0.00020282400452048297
0.0002,0.01,0.00001,0.01,0.0,1400000.0000000005,184.0,0.028383346179159833,0.8975066777115805,0.00008164773207086142
0.0002,0.01,0.00001,0.01,0.0,1600000.0,184.0,0.028382311669017835,0.8975337828050033,0.00016278808378510692
0.0002,0.01,0.00001,0.01,0.0,1800000.0000000002,184.0,0.0283802968696797,0.8976127449602554,0.0002642795570689459
0.0002,0.01,0.00001,0.01,0.0,2000000.0,184.0,0.028380339047939324,0.8976394461531166,0.00016538841137552052
