SPA1 power,SPA1 bg fraction,SPA2 power,SPA2 bg fraction,SPA1 detuning,SPA2 detuning,v_forward,prob ini,prob inter,prob fin
0.0002,0.01,1e-6,0.001,0.0,-2000000.0,184.0,0.028387274461408346,0.8976132216509556,4.232410655300697e-6
0.0002,0.01,1e-6,0.001,0.0,-1800000.0,184.0,0.028378903225394828,0.8976128941444559,0.000012527316684302089
0.0002,0.01,1e-6,0.001,0.0,-1600000.0,184.0,0.028361105727034746,0.8976131138664726,0.000028515233389148032
0.0002,0.01,1e-6,0.001,0.0,-1400000.0,184.0,0.028356645886084,0.8976141886967588,0.000036603677787345206
0.0002,0.01,1e-6,0.001,0.0,-1200000.0,184.0,0.028365527230154623,0.8968622487361343,0.00002701432744995894
0.0002,0.01,1e-6,0.001,0.0,-1000000.0,184.0,0.028383274216465616,0.895021151483802,0.000010702057424379591
0.0002,0.01,1e-6,0.001,0.0,-799999.9999999998,184.0,0.028395319524417522,0.8790912991842192,0.009617681486411173
0.0002,0.01,1e-6,0.001,0.0,-599999.9999999999,184.0,0.028400925759036695,0.852590240071861,0.028655118937781058
0.0002,0.01,1e-6,0.001,0.0,-399999.9999999999,184.0,0.028417170758820474,0.7854468098287133,0.07603927934777735
0.0002,0.01,1e-6,0.001,0.0,-199999.99999999994,184.0,0.028431401355128918,0.7330381652847034,0.11817496352298268
0.0002,0.01,1e-6,0.001,0.0,0.0,184.0,0.02845721019493238,0.6481674897125482,0.23794274627899933
0.0002,0.01,1e-6,0.001,0.0,200000.00000000017,184.0,0.028457576670492726,0.6815892730867523,0.21565288249657646
0.0002,0.01,1e-6,0.001,0.0,400000.00000000035,184.0,0.02840272079810061,0.8970007957007445,0.000551578359664691
0.0002,0.01,1e-6,0.001,0.0,600000.0000000001,184.0,0.0284006749968501,0.8869131319018965,0.009311569553572575
0.0002,0.01,1e-6,0.001,0.0,800000.0000000002,184.0,0.02839823287828142,0.8971300065563768,0.00046409003658384355
0.0002,0.01,1e-6,0.001,0.0,1000000.0,184.0,0.028394181770171074,0.8972238585713517,0.00033956972358183623
0.0002,0.01,1e-6,0.001,0.0,1200000.0000000002,184.0,0.02839355894394725,0.8973219108525851,0.00029410015279625427
0.0002,0.01,1e-6,0.001,0.0,1400000.0000000005,184.0,0.02839271878535769,0.8972580098800802,0.0002419560943714628
0.0002,0.01,1e-6,0.001,0.0,1600000.0,184.0,0.028394193171725424,0.8973497371772838,0.0002416984962339089
0.0002,0.01,1e-6,0.001,0.0,1800000.0000000002,184.0,0.028394441296336077,0.8974170844012651,0.00018328652693244587
0.0002,0.01,1e-6,0.001,0.0,2000000.0,184.0,0.02839477385247332,0.8973605320532705,0.000249193385680574
0.0002,0.01,1e-6,0.0109,0.0,-2000000.0,184.0,0.028362516017960217,0.8976721746286743,9.717833924453611e-6
0.0002,0.01,1e-6,0.0109,0.0,-1800000.0,184.0,0.02829735152679955,0.8976707352503912,0.00007509754665262245
0.0002,0.01,1e-6,0.0109,0.0,-1600000.0,184.0,0.02830194834585665,0.8976696433082929,0.00006465234285754236
