stage,detuning_hz,intensity_prefactor,singlet,triplet_m,triplet_0,triplet_p
AP1,-6000000.0,0.01,1.5958242312472854e-7,7.354065135325157e-8,7.747788446653932e-8,7.353861980713091e-8
AP1,-6000000.0,0.019573417814876606,1.5016519796498244e-7,6.33882666783914e-8,8.496588662908241e-8,6.338673604908778e-8
AP1,-6000000.0,0.03831186849557289,1.3656592936417696e-7,4.990900751610767e-8,9.82900459154145e-8,4.990802506217764e-8
AP1,-6000000.0,0.07498942093324558,1.1711859867230387e-7,3.29515071933022e-8,1.2261060376716907e-7,3.2951011351119504e-8
AP1,-6000000.0,0.14677992676220697,9.023250156226333e-8,1.4190464984892821e-8,1.6782095673430666e-7,1.4190332184880067e-8
AP1,-6000000.0,0.28729848333536656,5.637953688409607e-8,6.670929891635775e-10,2.5235635214008106e-7,6.671567382619807e-10
AP1,-6000000.0,0.5623413251903491,2.4388065362299573e-8,1.2994444649382967e-8,4.079297630986458e-7,1.2993764326866985e-8
AP1,-6000000.0,1.1006941712522103,2.7279173291449596e-8,1.0050120349329337e-7,6.78943044043018e-7,1.0049777048864685e-7
AP1,-6000000.0,2.1544346900318843,1.4997272665232345e-7,3.551307225392745e-7,1.0946776337762963e-6,3.551220661928156e-7
AP1,-6000000.0,4.216965034285822,5.396098360044811e-7,8.779822446475268e-7,1.5804294131751135e-6,8.779678004577647e-7
AP1,-6000000.0,8.25404185268019,1.3023119801522553e-6,1.6316469029670673e-6,1.8756760392180016e-6,1.6316358940313573e-6
AP1,-6000000.0,16.155980984398745,2.319643703282327e-6,2.382559273929349e-6,1.8393156578871114e-6,2.3825694698540963e-6
AP1,-6000000.0,31.622776601683793,3.5753244221605447e-6,3.327170769523224e-6,2.194065548271712e-6,3.327180978322822e-6
AP1,-5650000.0,0.01,9.58747133885356e-8,5.712013658516322e-8,1.8718726511398782e-7,5.7116068599464436e-8
AP1,-5650000.0,0.019573417814876606,8.624156920338983e-8,4.7923601121262204e-8,2.0467401933594993e-7,4.791997950166501e-8
AP1,-5650000.0,0.03831186849557289,7.293561331179944e-8,3.615019730711114e-8,2.314911401135657e-7,3.614729426614211e-8
AP1,-5650000.0,0.07498942093324558,5.5110065694283253e-8,2.2300417899443536e-8,2.7340897734488244e-7,2.229832476949345e-8
AP1,-5650000.0,0.14677992676220697,3.2950977180648183e-8,9.293540103002705e-9,3.3996850333167927e-7,9.292495905971353e-9
AP1,-5650000.0,0.28729848333536656,1.0622886405462266e-8,6.567847238125744e-9,4.4625030253488505e-7,6.567596718875204e-9
AP1,-5650000.0,0.5623413251903491,4.2290853553329534e-9,3.9464022066630016e-8,6.131712535029267e-7,3.9463350371727284e-8
AP1,-5650000.0,1.1006941712522103,6.004074736225745e-8,1.6715753206666638e-7,8.599288062206124e-7,1.671534746061568e-7
AP1,-5650000.0,2.1544346900318843,2.845982540797066e-7,5.032799416143178e-7,1.1745164374689074e-6,5.032670831052114e-7
AP1,-5650000.0,4.216965034285822,8.552024111131592e-7,1.1929983663084844e-6,1.4584110045299392e-6,1.192970583113857e-6
AP1,-5650000.0,8.25404185268019,1.9043981649103648e-6,2.2503189566782028e-6,1.5446705220921676e-6,2.250281090292886e-6
AP1,-5650000.0,16.155980984398745,3.2837006900168527e-6,3.3940981890993755e-6,1.5456847755197602e-6,3.3940808964003548e-6
AP1,-5650000.0,31.622776601683793,4.950963560074585e-6,4.695178273804935e-6,2.2654933621390057e-6,4.695160954655828e-6
AP1,-5300000.0,0.01,0.000011925429672859773,8.916446684367394e-6,4.678061511869228e-6,8.91962082624775e-6
AP1,-5300000.0,0.019573417814876606,0.00001189192254728534,8.410882596632305e-6,4.492644029749774e-6,8.41418107694643e-6
AP1,-5300000.0,0.03831186849557289,0.000012001728880591602,7.748834696500624e-6,4.337719142921636e-6,7.752189186466399e-6
AP1,-5300000.0,0.07498942093324558,0.000012446881018520967,6.94040633124486e-6,4.318802252733096e-6,6.943635834133931e-6
AP1,-5300000.0,0.14677992676220697,0.000013572008303548177,6.099006917236327e-6,4.6432359822595344e-6,6.101730931474149e-6
AP1,-5300000.0,0.28729848333536656,0.000015875864512892995,5.57184524239932e-6,5.639367635845914e-6,5.5734434086708744e-6
AP1,-5300000.0,0.5623413251903491,0.00001975156656421491,6.082251154365047e-6,7.640168075322467e-6,6.082044820471121e-6
AP1,-5300000.0,1.1006941712522103,0.00002465932417476435,8.591514981928879e-6,0.000010582393461482713,8.589403519578158e-6
AP1,-5300000.0,2.1544346900318843,0.00002814523379270207,0.000013423514840867714,0.00001365496374627539,0.00001342080230341556
AP1,-5300000.0,4.216965034285822,0.00002705353590089808,0.000019366724026817813,0.000016338053112216992,0.00001936540423770656
AP1,-5300000.0,8.25404185268019,0.000021422754230407255,0.000024674484043144553,0.000020214612683833657,0.00002467470862928292
AP1,-5300000.0,16.155980984398745,0.000013384014628665212,0.000023624361769289055,0.000025312403954894102,0.000023622914973247184
AP1,-5300000.0,31.622776601683793,1.9712326744217424e-6,0.000021686135862553242,0.00001513700582382549,0.000021689877246469868
AP1,-4950000.0,0.01,5.683214620725388e-6,8.087864712106827e-7,2.805048976736274e-6,8.088423796913207e-7
AP1,-4950000.0,0.019573417814876606,5.93992877939492e-6,7.508192786523376e-7,2.8187107278492266e-6,7.508539899406006e-7
AP1,-4950000.0,0.03831186849557289,6.2757498331001995e-6,6.668328363541156e-7,2.808910402265211e-6,6.668418372959023e-7
AP1,-4950000.0,0.07498942093324558,6.6829340641963786e-6,5.492467675696183e-7,2.745258288119986e-6,5.492271325992056e-7
